"PatientID";"InternalNumber";"PatientType";"Sex";"PoliteAddress";"LetterPoliteAddress";"LastNamePrefix";"Title";"FirstName";"LastName";"DateOfBirth";"Street";"CountryCode";"ZIPID";"City";"HomePhone";"WorkPhone";"MobilePhone";"Fax";"Email";"WWW";"StaffID";"DoctorID";"HealthInsuranceID";"HealthInsuranceAccount";"HealthInsuranceStatus";"StatusExtension";"CardValidTo";"SurchargeStatus";"Homepatient";"Distance";"HandlingType";"AltPayeeActive";"APPoliteAddress";"APLetterPoliteAddress";"APLastNamePrefix";"APTitle";"APLastName";"APFirstName";"APStreet";"APZIP";"APCity";"Profession";"Company";"BankID";"BankName";"BankAccount";"Active";"RecordCreationDate";"RecordModificationDate";"Remark";"Version";"Deleted";"ExtPatientID";"IBAN";"BIC"
540713;14;"KASSE";"M";"HERR";"HERR_";"";"";"Christian";"Chiem";"1983-01-01";"Huberstraße 44";"";320243;"Aschheim";"";"";"";"";"";"";"";517272;332545;"";"";"";"";"PFLICHTIG";"false";12;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-10 00:00:00";"";3;0;"";"";""
540717;16;"KASSE";"M";"HERR";"HERR_";"";"";"Emil";"Ehrlich";"1944-08-08";"Seeweg 15";"";307739;"Dresden";"";"";"";"";"";"";"";517319;540129;"";"";"";"";"PFLICHTIG";"false";23;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2016-04-01 00:00:00";"";6;0;"";"";""
540719;17;"KASSE";"M";"HERR";"HERR_";"";"";"Felix";"Fröhlich";"1977-07-07";"Münchenstraße 456";"";320170;"Dachau";"08567-123123";"";"0176-222222222";"";"";"";"";517319;332556;"";"";"";"";"PFLICHTIG";"false";5;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-09 00:00:00";"Verordnung fehlt noch!";4;0;"";"";""
540723;19;"PRIVAT";"W";"FRAU";"FRAU_";"";"";"Iris";"Immendorf";"1922-03-05";"Immenstraße 34";"";313781;"Immenhausen";"05442-2222222";"";"0151-22222222";"";"";"";"";517272;335770;"";"";"";"";"PFLICHTIG";"false";6;"PRAXIS";"true";"FRAU";"FRAU_";"";"";"Immendorf";"Dora";"Hauptstraße 3";"319766";"Gilching";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2015-11-03 00:00:00";"Patientin wird von Ihrer Tochter zur Therapie gebracht.";7;0;"";"";""
540725;20;"KASSE";"M";"HERR";"HERR_";"";"";"Konrad";"Kaiser";"1977-07-07";"Königsweg 17";"";319190;"Karlsruhe";"07846-11111111";"";"0173-444444444";"";"";"";"";517319;332324;"";"";"";"";"PFLICHTIG";"false";3;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-09 00:00:00";"";1;0;"";"";""
540727;21;"PRIVAT";"W";"FRAU";"FRAU_";"";"";"Lea";"Lehmann";"1976-09-14";"Lehmstraße 45";"";320891;"Nürnberg";"";"";"";"";"";"";"";517319;335770;"";"";"";"";"PFLICHTIG";"false";2;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2015-08-21 00:00:00";"";2;0;"";"";""
540729;22;"PRIVAT";"W";"FRAU";"FRAU_";"";"";"Nadja";"Niemals";"1954-04-17";"Nimmerweg 4";"";317895;"Wiesbaden";"0762-11111111";"";"0174-66666666";"";"";"";"";517319;335770;"";"";"";"";"PFLICHTIG";"false";4;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-09 00:00:00";"";2;0;"";"";""
540731;23;"KASSE";"M";"HERR";"HERR_";"";"DR";"Oskar";"Otto";"1933-02-02";"Hollandstraße 44";"";318071;"Rehlingen-Siersburg";"0562-1111111";"";"0171-1111111";"";"";"";"";517147;332332;"";"";"";"";"PFLICHTIG";"false";6;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-09 00:00:00";"";2;0;"";"";""
540733;24;"PRIVAT";"W";"FRAU";"FRAU_";"";"";"Quirin";"Qualle";"1944-08-19";"Wasserstraße 45";"";311473;"Hamburg";"";"";"";"";"";"";"";517129;335780;"";"";"";"";"PFLICHTIG";"false";17;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-09 00:00:00";"";2;0;"";"";""
540736;25;"PRIVAT";"W";"FRAU";"FRAU_";"";"";"Rita";"Richter";"1956-05-05";"Bayernstraße 55";"";319677;"München";"";"";"";"";"";"";"";517319;335770;"";"";"";"";"PFLICHTIG";"false";10;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2015-07-14 00:00:00";"";3;0;"";"";""
540738;26;"PRIVAT";"M";"HERR";"HERR_";"";"";"Theo";"Thiele";"2006-09-19";"Thiemstraße 45";"";319766;"Gilching";"";"";"";"";"";"";"";517319;335770;"";"";"";"";"FREI";"false";15;"PRAXIS";"true";"HERR";"HERR_";"";"DR";"Thiele";"Dieter";"Thiemstraße 45";"319766";"Gilching";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2015-08-21 00:00:00";"";2;0;"";"";""
541357;27;"PRIVAT";"W";"FRAU";"FRAU_";"";"";"Uwe";"Ulner";"1911-01-01";"Uhustraße 15";"";307740;"Dresden";"";"";"";"";"";"";"";517319;335780;"";"";"";"";"PFLICHTIG";"false";7;"PRAXIS";"true";"HERR";"HERR_";"";"";"Ulner";"Dieter";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-16 00:00:00";"";3;0;"";"";""
541359;28;"KASSE";"W";"FRAU";"FRAU_";"";"";"Verena";"Vogel";"2011-05-05";"Hauptstraße 4";"";307739;"Dresden";"";"";"";"";"";"";"";517319;332345;"";"";"";"";"FREI";"false";2;"PRAXIS";"true";"FRAU";"FRAU_";"";"";"Vogel";"Maria";"Hauptstraße 4";"307739";"Dresden";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-16 00:00:00";"";6;0;"";"";""
541363;30;"KASSE";"W";"FRAU";"FRAU_";"";"";"Xavier";"Xanten";"1954-12-04";"Meinerstraße 6";"";319678;"München";"0234-11111111";"";"0174-22222222";"";"";"";"";517272;335739;"";"";"";"";"PFLICHTIG";"false";7;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-09 00:00:00";"";1;0;"";"";""
541365;31;"KASSE";"W";"FRAU";"FRAU_";"";"";"Yana";"Yung";"1977-11-12";"Peterstraße 87";"";315534;"Ringe";"";"";"";"";"";"";"";517319;333878;"";"";"";"";"PFLICHTIG";"false";5;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-09 00:00:00";"";0;0;"";"";""
541367;32;"PRIVAT";"W";"FRAU";"FRAU_";"";"";"Zoe";"Zeppelin";"2000-02-28";"Mühlenstraße 900";"";309600;"Berlin";"";"";"";"";"";"";"";517319;335770;"";"";"";"";"FREI";"false";0;"PRAXIS";"true";"FRAU";"FRAU_";"";"";"Zeppelin";"Martha";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2015-11-03 00:00:00";"";3;0;"";"";""
527130;34;"KASSE";"M";"HERR";"HERR_";"";"PROF";"Klaus";"Mustermann";"1968-03-18";"AZH-Straße 456";"";320175;"Petershausen";"0179-987654321";"";"";"";"klausi@mustermann.com";"";"";517129;335668;"5056749305";"3000";"W";"";"PFLICHTIG";"false";20;"HAUSBESUCH";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2011-09-13 00:00:00";"2015-11-03 00:00:00";"Achtung: Rezeptimage über den Button ""Datenservicce"" im /nRegister ""Rezepte"" im Abrechnungsportal aufrufbar!";12;0;"";"";""
527273;35;"KASSE";"W";"FRAU";"FRAU_";"BARONESS";"";"Beatrice";"Bichlhuber";"1912-12-12";"Feld-und Wiesenweg 20";"";320574;"Buxheim";"0180-987 987";"";"0180-987 987";"";"bea@trice.com";"";"";517272;332326;"08171-123456789";"3000";"1";"";"PFLICHTIG";"false";0;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2011-09-13 00:00:00";"2014-12-09 00:00:00";"Krankenhausaufenthalt vom 02.01. - 06.01.2015";7;0;"";"";""
527320;36;"PRIVAT";"W";"FRAU";"FRAU_";"GRAFIN";"";"Patricia";"Privee";"1969-09-06";"Grafstr. 1";"";320382;"Ehekirchen";"09355 -987654321";"";"";"";"";"";"";517319;335780;"";"5000";"1";"";"PFLICHTIG";"true";0;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2011-09-14 00:00:00";"2014-12-09 00:00:00";"";6;0;"";"";""
527439;37;"KASSE";"M";"HERR";"HERR_";"";"";"Gustav";"Geier";"1960-06-06";"Hauptstraße 4";"";320141;"Gaimersheim";"0160/89898989";"";"";"";"";"";"";517319;332399;"111111111111";"";"";"";"PFLICHTIG";"false";0;"HAUSBESUCH";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2011-09-14 00:00:00";"2015-11-03 00:00:00";"";7;0;"";"";""
527814;38;"KASSE";"W";"FRAU";"FRAU_";"";"";"Amelie";"Ansbacher";"1980-08-08";"Müllerstr.2";"";320267;"Ismaning";"0161 61616161";"";"0161 61616161";"";"amelie@mail.com";"";"";517272;332328;"797979797";"3000";"1";"";"PFLICHTIG";"false";0;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2011-09-14 00:00:00";"2016-06-29 00:00:00";"Stationärer Aufenthalt vom 14.12.-18.12.2015";12;0;"";"";""
527828;39;"KASSE";"M";"HERR";"HERR_";"";"";"Scharly";"Schulz";"1912-05-05";"Randweg 99";"";319759;"Gauting";"0178_56565656";"";"";"";"";"";"";517319;332328;"32323232323";"3000";"1";"";"PFLICHTIG";"false";0;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2011-09-14 00:00:00";"2014-12-16 00:00:00";"";4;0;"";"";""
528000;40;"KASSE";"M";"HERR";"HERR_";"";"";"Jürgen";"Jung";"2001-01-01";"Frühlingsstr.12";"";319263;"Heuchelheim-Klingen";"0177-77 88 77 88";"";"";"";"";"";"";517147;332326;"8585858585";"3000";"1";"";"FREI";"true";6;"HAUSBESUCH";"true";"HERR";"HERR_";"";"";"Jung";"Heinrich";"";"";"";"";"";"";"";"";"true";"2011-09-14 00:00:00";"2014-12-16 00:00:00";"";4;0;"";"";""
528017;41;"KASSE";"M";"HERR";"HERR_";"";"";"Marcus";"Möller";"1960-06-06";"Knöbelstr";"";319262;"Göcklingen";"0174-55555555";"";"";"";"";"";"";517129;332326;"32323232";"3000";"1";"";"PFLICHTIG";"false";0;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2011-09-14 00:00:00";"2015-11-03 00:00:00";"";2;0;"";"";""
528325;42;"KASSE";"M";"HERR";"HERR_";"";"";"Sören";"Schlau";"1940-04-04";"Reinkarnationsstraße 80";"";319799;"Andechs";"08151 161616";"";"";"";"";"";"";517319;332331;"999666222";"5000";"1";"";"PFLICHTIG";"true";0;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2012-02-10 00:00:00";"2015-07-17 00:00:00";"";6;0;"";"";""
530414;43;"PRIVAT";"M";"HERR";"HERR_";"";"DR";"Paul";"Stachus";"1956-07-07";"Am Platz 1";"";319675;"München";"089 987987";"";"";"";"";"";"";520491;335770;"";"";"";"";"PFLICHTIG";"false";0;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2013-08-20 00:00:00";"2015-11-03 00:00:00";"";6;0;"";"";""
550713;44;"KASSE";"M";"HERR";"HERR_";"";"";"Christian";"Chiem";"1983-01-01";"Huberstraße 44";"";320243;"Aschheim";"";"";"";"";"";"";"";517272;332545;"";"";"";"";"PFLICHTIG";"false";12;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-10 00:00:00";"";3;0;"";"";""
550717;45;"KASSE";"M";"HERR";"HERR_";"";"";"Emil";"Ehrlich";"1944-08-08";"Seeweg 15";"";307739;"Dresden";"";"";"";"";"";"";"";517319;540129;"";"";"";"";"PFLICHTIG";"false";23;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2016-04-01 00:00:00";"";6;0;"";"";""
550719;46;"KASSE";"M";"HERR";"HERR_";"";"";"Felix";"Fröhlich";"1977-07-07";"Münchenstraße 456";"";320170;"Dachau";"08567-123123";"";"0176-222222222";"";"";"";"";517319;332556;"";"";"";"";"PFLICHTIG";"false";5;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-09 00:00:00";"Verordnung fehlt noch!";4;0;"";"";""
550723;47;"PRIVAT";"W";"FRAU";"FRAU_";"";"";"Iris";"Immendorf";"1922-03-05";"Immenstraße 34";"";313781;"Immenhausen";"05442-2222222";"";"0151-22222222";"";"";"";"";517272;335770;"";"";"";"";"PFLICHTIG";"false";6;"PRAXIS";"true";"FRAU";"FRAU_";"";"";"Immendorf";"Dora";"Hauptstraße 3";"319766";"Gilching";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2015-11-03 00:00:00";"Patientin wird von Ihrer Tochter zur Therapie gebracht.";7;0;"";"";""
550725;48;"KASSE";"M";"HERR";"HERR_";"";"";"Konrad";"Kaiser";"1977-07-07";"Königsweg 17";"";319190;"Karlsruhe";"07846-11111111";"";"0173-444444444";"";"";"";"";517319;332324;"";"";"";"";"PFLICHTIG";"false";3;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-09 00:00:00";"";1;0;"";"";""
550727;49;"PRIVAT";"W";"FRAU";"FRAU_";"";"";"Lea";"Lehmann";"1976-09-14";"Lehmstraße 45";"";320891;"Nürnberg";"";"";"";"";"";"";"";517319;335770;"";"";"";"";"PFLICHTIG";"false";2;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2015-08-21 00:00:00";"";2;0;"";"";""
550729;50;"PRIVAT";"W";"FRAU";"FRAU_";"";"";"Nadja";"Niemals";"1954-04-17";"Nimmerweg 4";"";317895;"Wiesbaden";"0762-11111111";"";"0174-66666666";"";"";"";"";517319;335770;"";"";"";"";"PFLICHTIG";"false";4;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-09 00:00:00";"";2;0;"";"";""
550731;51;"KASSE";"M";"HERR";"HERR_";"";"DR";"Oskar";"Otto";"1933-02-02";"Hollandstraße 44";"";318071;"Rehlingen-Siersburg";"0562-1111111";"";"0171-1111111";"";"";"";"";517147;332332;"";"";"";"";"PFLICHTIG";"false";6;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-09 00:00:00";"";2;0;"";"";""
550733;52;"PRIVAT";"W";"FRAU";"FRAU_";"";"";"Quirin";"Qualle";"1944-08-19";"Wasserstraße 45";"";311473;"Hamburg";"";"";"";"";"";"";"";517129;335780;"";"";"";"";"PFLICHTIG";"false";17;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-09 00:00:00";"";2;0;"";"";""
550736;53;"PRIVAT";"W";"FRAU";"FRAU_";"";"";"Rita";"Richter";"1956-05-05";"Bayernstraße 55";"";319677;"München";"";"";"";"";"";"";"";517319;335770;"";"";"";"";"PFLICHTIG";"false";10;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2015-07-14 00:00:00";"";3;0;"";"";""
550738;54;"PRIVAT";"M";"HERR";"HERR_";"";"";"Theo";"Thiele";"2006-09-19";"Thiemstraße 45";"";319766;"Gilching";"";"";"";"";"";"";"";517319;335770;"";"";"";"";"FREI";"false";15;"PRAXIS";"true";"HERR";"HERR_";"";"DR";"Thiele";"Dieter";"Thiemstraße 45";"319766";"Gilching";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2015-08-21 00:00:00";"";2;0;"";"";""
551357;55;"PRIVAT";"W";"FRAU";"FRAU_";"";"";"Uwe";"Ulner";"1911-01-01";"Uhustraße 15";"";307740;"Dresden";"";"";"";"";"";"";"";517319;335780;"";"";"";"";"PFLICHTIG";"false";7;"PRAXIS";"true";"HERR";"HERR_";"";"";"Ulner";"Dieter";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-16 00:00:00";"";3;0;"";"";""
551359;56;"KASSE";"W";"FRAU";"FRAU_";"";"";"Verena";"Vogel";"2011-05-05";"Hauptstraße 4";"";307739;"Dresden";"";"";"";"";"";"";"";517319;332345;"";"";"";"";"FREI";"false";2;"PRAXIS";"true";"FRAU";"FRAU_";"";"";"Vogel";"Maria";"Hauptstraße 4";"307739";"Dresden";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-16 00:00:00";"";6;0;"";"";""
551363;57;"KASSE";"W";"FRAU";"FRAU_";"";"";"Xavier";"Xanten";"1954-12-04";"Meinerstraße 6";"";319678;"München";"0234-11111111";"";"0174-22222222";"";"";"";"";517272;335739;"";"";"";"";"PFLICHTIG";"false";7;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-09 00:00:00";"";1;0;"";"";""
551365;58;"KASSE";"W";"FRAU";"FRAU_";"";"";"Yana";"Yung";"1977-11-12";"Peterstraße 87";"";315534;"Ringe";"";"";"";"";"";"";"";517319;333878;"";"";"";"";"PFLICHTIG";"false";5;"PRAXIS";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2014-12-09 00:00:00";"";0;0;"";"";""
551367;59;"PRIVAT";"W";"FRAU";"FRAU_";"";"";"Zoe";"Zeppelin";"2000-02-28";"Mühlenstraße 900";"";309600;"Berlin";"";"";"";"";"";"";"";517319;335770;"";"";"";"";"FREI";"false";0;"PRAXIS";"true";"FRAU";"FRAU_";"";"";"Zeppelin";"Martha";"";"";"";"";"";"";"";"";"true";"2014-12-09 00:00:00";"2015-11-03 00:00:00";"";3;0;"";"";""
